"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"354","PGEN_.00g145150",18.6065657569468,4.17045135100366,1.13848715796013,3.66315186064639,0.00024913073808149,0.0137948836022126,2,12,7,13,14,47,32,16,6,20,12,25,11,8,15,32,11,5,13,4,73,5,4,18,28,9,11,13,6,27,13,7,81,6,24,TRUE,FALSE
"355","PGEN_.00g249650",128.328574336414,-3.43902411482485,1.07087967574525,-3.2114010497319,0.00132089451310614,0.036756306097629,80,82,63,88,47,286,55,142,492,81,51,77,162,73,58,74,177,471,60,103,84,162,140,23,83,116,40,299,68,33,68,43,86,132,93,FALSE,TRUE
"356","PGEN_.00g326270",7.60740208200009,-3.4601948364178,1.04064448917394,-3.32504988246706,0.000884027169605835,0.0284576289312222,7,6,15,10,1,6,4,7,28,11,9,10,9,3,11,6,19,10,6,5,1,8,10,4,2,3,4,14,6,1,7,3,2,2,6,FALSE,TRUE
"357","PGEN_.00g074210",14.8828823486269,-3.07952849458633,0.774957377823101,-3.97380369903297,7.07338663913042e-05,0.00620771293583376,44,27,25,7,11,6,27,21,7,3,7,7,12,9,22,13,14,3,13,17,16,15,26,12,6,19,49,0,20,12,25,10,9,20,12,FALSE,TRUE
"358","PGEN_.00g199190",53.0872180096044,5.3911256363226,1.728403952158,3.11913521696794,0.00181382701310458,0.0445715308919886,10,103,4,40,79,7,63,11,7,36,88,5,25,5,0,106,6,4,32,5,395,29,4,70,10,2,30,4,60,197,36,10,282,8,67,TRUE,FALSE
"359","PGEN_.00g017110",33.0787783080038,-1.85156080267452,0.441474039480563,-4.19404231526967,2.7402682906073e-05,0.00322306401314832,29,37,29,41,31,19,44,42,46,16,36,33,37,30,29,20,24,37,29,35,9,63,63,23,21,35,27,24,49,29,56,53,19,47,39,FALSE,TRUE
"360","PGEN_.00g180900",63.663210129569,-6.29629318656989,1.31273775219367,-4.79630693643752,1.61617576419497e-06,0.000709190357450017,22,18,33,25,20,25,8,69,533,57,15,12,150,8,39,24,73,167,25,50,61,105,106,20,19,6,9,166,31,13,36,25,27,48,17,FALSE,TRUE
"361","PGEN_.00g273630",12.5802652612292,5.42335454410103,1.52124775030681,3.5650698862215,0.000363759248220871,0.0169968971703731,2,16,2,8,30,15,8,9,5,13,18,17,11,2,5,17,9,5,9,0,76,0,1,13,6,6,5,2,6,18,5,0,66,3,14,TRUE,FALSE
"362","PGEN_.00g026190",398.893220250096,2.11543103409903,0.618188725708354,3.42198255342664,0.000621663024832727,0.0222337098756006,374,547,239,457,923,537,376,168,270,345,651,457,349,251,314,719,189,247,493,239,779,461,250,338,289,245,412,172,404,608,262,242,946,224,645,TRUE,FALSE
"363","PGEN_.00g279590",304.157199130142,4.81012828258758,1.24323081909706,3.86905489206026,0.00010925804462494,0.00799054507132014,48,201,35,260,490,1151,211,71,53,205,354,825,97,113,227,785,417,40,199,100,778,155,15,224,606,112,106,287,137,368,190,83,1042,54,306,TRUE,FALSE
