"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g131090",0,0,0,0,0,0,0,0
"PGEN_.00g042470",603,543,459,385,665,396,447,485
"PGEN_.00g337290",2,0,0,0,0,0,2,0
"PGEN_.00g343290",21,6,4,5,13,13,9,7
"PGEN_.00g049950",2,0,0,0,2,0,0,2
"PGEN_.00g330030",7,16,15,11,12,47,18,18
"PGEN_.00g337270",7,6,5,14,6,16,19,5
"PGEN_.00g003500",0,0,0,0,0,0,0,1
"PGEN_.00g047530",2,0,0,0,0,0,6,0
"PGEN_.00g038000",0,0,0,0,1,0,0,0
"PGEN_.00g302240",12,20,71,64,87,79,57,98
"PGEN_.00g264230",0,0,0,0,0,0,0,0
"PGEN_.00g002450",3,0,5,0,4,3,2,0
"PGEN_.00g231730",0,0,0,0,0,0,0,0
"PGEN_.00g310240",8,5,6,7,9,6,12,5
"PGEN_.00g226920",1,0,0,0,0,0,2,0
"PGEN_.00g186570",32,4,4,6,8,10,18,8
"PGEN_.00g317730",36,20,28,45,42,31,31,51
"PGEN_.00g151200",13,0,2,8,7,5,5,5
"PGEN_.00g249840",17,17,7,30,31,42,33,26
"PGEN_.00g261550",1,0,3,0,0,0,0,0
"PGEN_.00g330240",21,16,54,53,83,92,24,11
"PGEN_.00g318810",115,58,70,93,95,89,98,97
"PGEN_.00g171380",0,0,0,0,0,0,0,0
"PGEN_.00g188620",0,0,0,0,2,0,0,0
"PGEN_.00g333910",233,125,56,86,75,36,66,81
"PGEN_.00g105470",10,4,0,3,0,0,0,0
"PGEN_.00g121860",7,3,7,5,7,12,9,7
"PGEN_.00g050420",0,0,0,0,0,0,0,0
"PGEN_.00g181710",0,0,0,0,0,0,0,0
"PGEN_.00g348730",0,2,1,0,0,0,0,0
"PGEN_.00g213360",0,42,0,0,78,0,130,73
"PGEN_.00g034380",0,0,0,0,0,0,0,0
"PGEN_.00g334030",8,6,0,6,2,0,2,2
"PGEN_.00g330790",0,0,0,0,0,0,0,0
"PGEN_.00g120400",2,0,0,0,0,0,0,0
"PGEN_.00g124980",0,0,1,0,0,0,0,0
"PGEN_.00g004880",28,19,23,25,36,40,31,21
